k,lamda,x3,y3,"kP = (x3, y3)"
192,544,479,396,"(479, 396)"
193,519,24,686,"(24, 686)"
194,451,607,733,"(607, 733)"
195,639,672,539,"(672, 539)"
196,93,467,502,"(467, 502)"
197,26,209,198,"(209, 198)"
198,186,592,660,"(592, 660)"
199,36,704,565,"(704, 565)"
200,731,447,303,"(447, 303)"
201,62,393,41,"(393, 41)"
202,410,234,563,"(234, 563)"
203,479,152,414,"(152, 414)"
204,188,646,589,"(646, 589)"
205,234,38,495,"(38, 495)"
206,181,430,649,"(430, 649)"
207,694,566,344,"(566, 344)"
208,398,128,499,"(128, 499)"
209,441,595,79,"(595, 79)"
210,103,251,56,"(251, 56)"
211,271,343,546,"(343, 546)"
212,688,622,509,"(622, 509)"
213,651,366,176,"(366, 176)"
214,693,745,27,"(745, 27)"
215,684,740,389,"(740, 389)"
216,545,391,564,"(391, 564)"
217,642,225,117,"(225, 117)"
218,613,44,439,"(44, 439)"
219,394,486,396,"(486, 396)"
220,340,211,731,"(211, 731)"
221,201,387,692,"(387, 692)"
222,354,263,397,"(263, 397)"
223,140,562,550,"(562, 550)"
224,11,310,720,"(310, 720)"
225,161,77,745,"(77, 745)"
226,629,538,674,"(538, 674)"
227,531,549,244,"(549, 244)"
228,365,500,368,"(500, 368)"
229,12,395,141,"(395, 141)"
230,142,243,415,"(243, 415)"
231,575,693,681,"(693, 681)"
232,681,452,473,"(452, 473)"
233,713,241,521,"(241, 521)"
234,655,714,578,"(714, 578)"
235,299,69,21,"(69, 21)"
236,169,705,639,"(705, 639)"
237,631,177,587,"(177, 587)"
238,417,231,176,"(231, 176)"
239,347,18,137,"(18, 137)"
240,696,3,540,"(3, 540)"
241,305,649,694,"(649, 694)"
242,527,712,651,"(712, 651)"
243,147,620,106,"(620, 106)"
244,690,97,284,"(97, 284)"
245,301,384,445,"(384, 445)"
246,229,238,696,"(238, 696)"
247,380,721,510,"(721, 510)"
248,346,337,178,"(337, 178)"
249,327,701,203,"(701, 203)"
250,409,609,626,"(609, 626)"
251,580,94,678,"(94, 678)"
252,163,190,196,"(190, 196)"
253,671,202,13,"(202, 13)"
254,686,268,522,"(268, 522)"
255,320,747,153,"(747, 153)"
256,619,155,558,"(155, 558)"
257,476,370,740,"(370, 740)"
258,480,224,248,"(224, 248)"
259,214,512,453,"(512, 453)"
260,559,304,165,"(304, 165)"
261,150,417,158,"(417, 158)"
262,230,664,108,"(664, 108)"
263,357,617,149,"(617, 149)"
264,635,72,466,"(72, 466)"
265,189,352,686,"(352, 686)"
266,594,265,675,"(265, 675)"
267,174,722,164,"(722, 164)"
268,85,495,356,"(495, 356)"
269,622,375,686,"(375, 686)"
270,131,264,337,"(264, 337)"
271,162,446,219,"(446, 219)"
272,328,496,654,"(496, 654)"
273,155,248,236,"(248, 236)"
274,60,348,523,"(348, 523)"
275,732,13,622,"(13, 622)"
276,250,154,176,"(154, 176)"
277,145,594,610,"(594, 610)"
278,319,533,74,"(533, 74)"
279,401,305,483,"(305, 483)"
280,611,520,328,"(520, 328)"
281,127,589,672,"(589, 672)"
282,675,681,312,"(681, 312)"
283,709,332,50,"(332, 50)"
284,465,356,55,"(356, 55)"
285,132,546,399,"(546, 399)"
286,249,624,456,"(624, 456)"
287,366,405,92,"(405, 92)"
288,665,232,50,"(232, 50)"
289,523,684,119,"(684, 119)"
290,710,246,698,"(246, 698)"
291,99,543,690,"(543, 690)"
292,309,312,95,"(312, 95)"
293,170,50,136,"(50, 136)"
294,596,694,552,"(694, 552)"
295,379,257,602,"(257, 602)"
296,109,359,296,"(359, 296)"
297,460,210,654,"(210, 654)"
298,80,182,84,"(182, 84)"
299,312,283,697,"(283, 697)"
300,370,686,393,"(686, 393)"
301,485,227,677,"(227, 677)"
302,663,7,240,"(7, 240)"
303,517,677,332,"(677, 332)"
304,711,172,496,"(172, 496)"
305,350,666,85,"(666, 85)"
306,348,278,510,"(278, 510)"
307,222,191,29,"(191, 29)"
308,702,708,521,"(708, 521)"
309,311,636,92,"(636, 92)"
310,9,196,113,"(196, 113)"
311,355,412,560,"(412, 560)"
312,540,551,231,"(551, 231)"
313,395,17,419,"(17, 419)"
314,621,361,743,"(361, 743)"
315,648,485,13,"(485, 13)"
316,151,537,396,"(537, 396)"
317,35,688,327,"(688, 327)"
318,418,555,444,"(555, 444)"
319,720,406,194,"(406, 194)"
320,388,689,399,"(689, 399)"
321,254,743,154,"(743, 154)"
322,591,74,199,"(74, 199)"
323,434,532,44,"(532, 44)"
324,293,454,280,"(454, 280)"
325,281,403,533,"(403, 533)"
326,429,394,324,"(394, 324)"
327,667,654,488,"(654, 488)"
328,595,401,598,"(401, 598)"
329,583,36,415,"(36, 415)"
330,314,179,494,"(179, 494)"
331,244,28,302,"(28, 302)"
332,51,320,577,"(320, 577)"
333,585,200,531,"(200, 531)"
334,733,124,354,"(124, 354)"
335,448,63,689,"(63, 689)"
336,601,658,694,"(658, 694)"
337,578,733,265,"(733, 265)"
338,632,661,179,"(661, 179)"
339,361,488,692,"(488, 692)"
340,647,565,557,"(565, 557)"
341,318,676,193,"(676, 193)"
342,423,266,507,"(266, 507)"
343,280,30,236,"(30, 236)"
344,496,409,281,"(409, 281)"
345,42,604,541,"(604, 541)"
346,474,274,422,"(274, 422)"
347,351,514,201,"(514, 201)"
348,644,421,362,"(421, 362)"
349,173,219,38,"(219, 38)"
350,602,203,582,"(203, 582)"
351,112,325,23,"(325, 23)"
352,468,158,29,"(158, 29)"
353,668,723,304,"(723, 304)"
354,539,663,494,"(663, 494)"
355,84,385,328,"(385, 328)"
356,74,585,643,"(585, 643)"
357,582,189,23,"(189, 23)"
358,18,135,198,"(135, 198)"
359,71,400,513,"(400, 513)"
360,588,635,242,"(635, 242)"
361,40,214,76,"(214, 76)"
362,525,545,381,"(545, 381)"
363,689,295,641,"(295, 641)"
364,90,295,110,"(295, 110)"
